Date,Instrument,Expiry,Option Type,Strike Price,Open,High,Low,Close,Settlement Price,Open Interest,No. of Contracts,Value (Rs. lakhs)
29-Aug-08,FUTCUR,25-Sep-08,-,-,44.25,45,43.8,44.0325,44.0325,"13,641","42,964","18,865"
01-Sep-08,FUTCUR,25-Sep-08,-,-,44.1,44.34,44.1,44.28,44.28,"22,066","24,033","10,636"
02-Sep-08,FUTCUR,25-Sep-08,-,-,44.22,44.6175,44.22,44.53,44.53,"27,707","38,220","16,980"
04-Sep-08,FUTCUR,25-Sep-08,-,-,44.56,44.62,44.31,44.4275,44.4275,"24,238","36,492","16,221"
05-Sep-08,FUTCUR,25-Sep-08,-,-,44.55,44.82,44.46,44.7725,44.7725,"25,387","35,108","15,675"
08-Sep-08,FUTCUR,25-Sep-08,-,-,44.4,44.7525,44.2475,44.7375,44.7375,"25,336","52,150","23,198"
09-Sep-08,FUTCUR,25-Sep-08,-,-,44.755,45.1,44.755,44.9075,44.9075,"23,402","52,851","23,748"
10-Sep-08,FUTCUR,25-Sep-08,-,-,45.05,45.3375,45,45.3,45.3,"32,576","41,460","18,729"
11-Sep-08,FUTCUR,25-Sep-08,-,-,45.35,45.76,45.35,45.71,45.71,"38,394","46,829","21,370"
12-Sep-08,FUTCUR,25-Sep-08,-,-,45.6,45.9425,45.6,45.9125,45.9125,"44,550","37,733","17,290"
15-Sep-08,FUTCUR,25-Sep-08,-,-,45.75,46.23,45.6,46.1775,46.1775,"43,190","42,693","19,648"
16-Sep-08,FUTCUR,25-Sep-08,-,-,46.39,47,46.35,46.87,46.87,"60,278","80,941","37,849"
17-Sep-08,FUTCUR,25-Sep-08,-,-,46.6,46.78,46.3525,46.44,46.44,"61,660","61,956","28,808"
18-Sep-08,FUTCUR,25-Sep-08,-,-,46.3,46.83,46.3,46.495,46.495,"52,516","67,103","31,313"
19-Sep-08,FUTCUR,25-Sep-08,-,-,46.4,46.4575,45.79,45.89,45.89,"44,739","54,284","25,096"
22-Sep-08,FUTCUR,25-Sep-08,-,-,45.7,45.7,45.28,45.465,45.465,"37,449","42,043","19,110"
23-Sep-08,FUTCUR,25-Sep-08,-,-,45.4,45.93,45.3,45.815,45.815,"40,046","58,909","26,914"
24-Sep-08,FUTCUR,25-Sep-08,-,-,45.72,46.1,45.7175,45.975,45.975,"31,604","43,241","19,837"
25-Sep-08,FUTCUR,25-Sep-08,-,-,46.2,46.34,45.85,46.25,46.25,"25,041","11,886","5,496"
26-Sep-08,FUTCUR,27-Oct-08,-,-,45.6,46.59,45.6,46.555,46.555,"58,237","42,337","19,651"
29-Sep-08,FUTCUR,27-Oct-08,-,-,46.7,47.1,46.7,46.99,46.99,"54,800","60,126","28,233"
30-Sep-08,FUTCUR,27-Oct-08,-,-,47.29,47.48,47.03,47.135,47.135,"72,847","61,082","28,841"
01-Oct-08,FUTCUR,27-Oct-08,-,-,47.17,47.26,46.66,46.7375,46.7375,"81,213","88,038","41,316"
03-Oct-08,FUTCUR,27-Oct-08,-,-,47,47.28,46.87,47.1625,47.1625,"103,263","88,111","41,466"
06-Oct-08,FUTCUR,27-Oct-08,-,-,47.32,47.78,47.32,47.745,47.745,"106,692","74,396","35,397"
07-Oct-08,FUTCUR,27-Oct-08,-,-,48,48.08,47.65,47.83,47.83,"122,095","115,307","55,220"
08-Oct-08,FUTCUR,27-Oct-08,-,-,48.2,48.685,47.82,48.12,48.12,"118,067","115,188","55,783"
10-Oct-08,FUTCUR,27-Oct-08,-,-,48.51,49.21,48.08,48.535,48.535,"108,801","180,867","88,105"
13-Oct-08,FUTCUR,27-Oct-08,-,-,48.55,48.5525,48.09,48.33,48.33,"108,934","101,546","49,077"
14-Oct-08,FUTCUR,27-Oct-08,-,-,48.1,48.27,47.805,48.215,48.215,"114,977","107,161","51,479"
15-Oct-08,FUTCUR,27-Oct-08,-,-,48.355,48.76,48.3375,48.66,48.66,"104,100","105,368","51,266"
16-Oct-08,FUTCUR,27-Oct-08,-,-,49,49.25,48.87,49.03,49.03,"107,249","108,647","53,277"
17-Oct-08,FUTCUR,27-Oct-08,-,-,48.69,49.16,48.69,49.055,49.055,"99,590","117,729","57,589"
20-Oct-08,FUTCUR,27-Oct-08,-,-,48.5,49.11,48.5,49.09,49.09,"102,327","96,188","47,095"
21-Oct-08,FUTCUR,27-Oct-08,-,-,49.1,49.4025,48.95,49.38,49.38,"99,797","84,398","41,546"
22-Oct-08,FUTCUR,27-Oct-08,-,-,48.5,49.71,48.5,49.4925,49.4925,"82,954","146,001","72,354"
23-Oct-08,FUTCUR,27-Oct-08,-,-,49.8,50.91,49.6925,49.9175,49.9175,"72,652","72,732","36,309"
24-Oct-08,FUTCUR,27-Oct-08,-,-,50,50.19,49.9,50.0775,50.0775,"59,465","60,265","30,177"
27-Oct-08,FUTCUR,27-Oct-08,-,-,50.06,50.1775,49.98,50.105,50.09,"48,882","22,456","11,248"
28-Oct-08,FUTCUR,26-Nov-08,-,-,50.54,50.8,50.4,50.4425,50.4425,"142,589","10,776","5,444"
29-Oct-08,FUTCUR,26-Nov-08,-,-,50.3,50.535,50.1,50.1375,50.1375,"146,002","59,743","30,097"
31-Oct-08,FUTCUR,26-Nov-08,-,-,49.9,50.08,49.62,49.9675,49.9675,"143,720","73,546","36,652"
03-Nov-08,FUTCUR,26-Nov-08,-,-,49.65,49.65,48.9,48.945,48.945,"123,549","124,176","60,991"
